Meta_troph,Simp,S,Meta,Freq,Time_step,System_var,nSites,CV_S_L,CV_C_L,CV_S_R,CV_C_R,phi_S_L2R,phi_C_L2R,phi_S2C_L,phi_S2C_R,Simp_gamma,S_gamma
Doñana Flower availability,0.5581629741809226,9.9,Doñana,Inter-annual,2,Flower availability,5,1.1981326602418978,0.9236399346000198,1.0986373781413905,0.9236399346000198,0.9169580419580419,1,0.770899554990464,0.8407141000086662,0.9590301003344481,24.5
Doñana Fruit set,0.4465901931395774,2.6,Doñana,Inter-annual,2,Fruit set,5,0.8397566847215924,0.6144357346524594,0.6692188100058601,0.585196003259628,0.7969198961812715,0.952412059156406,0.7316830527596997,0.8744464359190735,0.8452380952380953,6.5
Doñana Pollinator interaction frequencies,0.8782795470115372,32.4,Doñana,Inter-annual,2,Pollinator interaction frequencies,5,1.3193243943170938,1.056554390469706,1.2901277272229397,1.056554390469706,0.9778699861687414,1,0.8008298755186722,0.8189533239038189,0.9922677404295052,132.5
Doñana Pollinator visitation rate,0.7086364801041177,20.2,Doñana,Inter-annual,2,Pollinator visitation rate,5,1.3005213048008166,1.2272857726503619,1.2665612798116945,1.2272857726503619,0.9738873751135332,1,0.9436875567665758,0.9689904406621589,0.9823076923076923,57.5
